state_code,city_code,city_name,lat,long,capital
35,3550308,São Paulo,-23.5329,-46.6395,TRUE
31,3136702,Juiz de Fora,-21.7595,-43.3398,FALSE
33,3304557,Rio de Janeiro,-22.9129,-43.2003,TRUE
